station_key,station_name,waqi_uid,latitude,longitude,seed_city,seed_country,source,last_updated
bursabeyazitcadturkey,"Bursa Beyazit Cad., Turkey",8144,40.18565,29.08049,Bursa,TR,waqi_search,2026-03-25T18:32:07.816269
bursainegolturkey,"Bursa Inegol, Turkey",8145,40.08089,29.50024,Bursa,TR,waqi_search,2026-03-25T18:32:07.816269
bursakestelturkey,"Bursa Kestel, Turkey",8146,40.19542,29.2054,Bursa,TR,waqi_search,2026-03-25T18:32:07.816269
bursakulturparkturkey,"Bursa Kultur Park, Turkey",11609,40.19572,29.04588,Bursa,TR,waqi_search,2026-03-25T18:32:07.816269
bursaturkey,"Bursa, Turkey",4139,40.23443602578625,29.038061364418013,Bursa,TR,waqi_search,2026-03-25T18:32:07.816269
bursauludagunivturkey,"Bursa Uludag Univ., Turkey",8147,40.22337,28.87154,Bursa,TR,waqi_search,2026-03-25T18:32:07.816269
buryprestwichunitedkingdom,"Bury Prestwich, United Kingdom",9045,53.52515502,-2.27901456,Manchester,GB,waqi_search,2026-03-25T18:32:58.619153
bwssbkadabesanahallibengaluruindia,"BWSSB Kadabesanahalli, Bengaluru, India",12441,12.9352049,77.6814488,Bengaluru,IN,waqi_search,2026-03-25T18:33:42.568672
bydgoszczwarszawskapoland,"Bydgoszcz-Warszawska, Poland",6524,53.133888888889,17.995555555556,Warsaw,PL,waqi_search,2026-03-25T18:33:07.337653
caleavictorieicerculmilitarromania,"Calea Victoriei, Cercul Militar, Romania",7657,44.435029,26.098609,Bucharest,RO,waqi_search,2026-03-25T18:33:29.336360
camdenkerbsideunitedkingdom,"Camden Kerbside, United Kingdom",3166,51.54421,-0.175269,London,GB,waqi_search,2026-03-25T18:32:56.441767
casadecampomadridspain,"Casa De Campo, Madrid, Spain",3228,40.420000000103,-3.749166660087,Madrid,ES,waqi_search,2026-03-25T18:32:45.435092
casoriascuolapalizzicamcasoriacampaniaitaly,"Casoria Scuola Palizzi (CAM), Casoria, Campania, Italy",10927,40.91463,14.29866,Naples,IT,waqi_search,2026-03-25T18:32:41.048502
castellanamadridspain,"Castellana, Madrid, Spain",3231,40.439722219953,-3.6902777696215,Madrid,ES,waqi_search,2026-03-25T18:32:45.435092
castrejanabarakaldopasvascospain,"Castrejana, Barakaldo, País Vasco, Spain",6729,43.258109999697,-2.9734399999609,Bilbao,ES,waqi_search,2026-03-25T18:32:54.251608
catladikapiturkey,"Catladikapi, Turkey",8772,41.0025,28.975278,Istanbul,TR,waqi_search,2026-03-25T18:32:01.189315
chakalaandherieastmumbaiindia,"Chakala-Andheri East, Mumbai, India",13713,19.11074,72.86084,Mumbai,IN,waqi_search,2026-03-25T18:33:40.378746
chhatrapatishivajiintlairportt2mumbaiindia,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai, India",12456,19.10078,72.87462,Mumbai,IN,waqi_search,2026-03-25T18:33:40.378746
chulalongkornhospitalbangkokthailand,"Chulalongkorn Hospital, Bangkok, Thailand (โรงพยาบาลจุฬาลงกรณ์)",1857,13.729852,100.536501,Bangkok,TH,waqi_search,2026-03-25T18:33:44.769409
cinecittaromalazioitaly,"Cinecitta', Roma, Lazio, Italy",9343,41.8482263,12.5759027,Rome,IT,waqi_search,2026-03-25T18:32:34.375902
ciproromalazioitaly,"Cipro, Roma, Lazio, Italy",9348,41.9071831,12.4466876,Rome,IT,waqi_search,2026-03-25T18:32:34.375902
cityrailwaystationbangaloreindia,"City Railway Station, Bangalore, India",8686,12.9756843,77.5660749,Bengaluru,IN,waqi_search,2026-03-25T18:33:42.568672
colognekolnclevischerringgermany,"cologne; Köln Clevischer Ring, Germany",6098,50.962838,7.004605,Cologne,DE,waqi_search,2026-03-25T18:32:18.830180
colognekolnrodenkirchengermany,"cologne; Köln-Rodenkirchen, Germany",6101,50.889871,6.985074,Cologne,DE,waqi_search,2026-03-25T18:32:18.830180
colognekolnturinerstraegermany,"cologne; Köln Turiner Straße, Germany",6099,50.947268,6.957649,Cologne,DE,waqi_search,2026-03-25T18:32:18.830180
cuatrocaminosmadridspain,"Cuatro Caminos, Madrid, Spain",3229,40.445277769821,-3.706388879969,Madrid,ES,waqi_search,2026-03-25T18:32:45.435092
dejongwegutrecht,"de Jongweg, Utrecht",4584,52.105031,5.124464,Utrecht,NL,waqi_search,2026-03-25T18:33:18.281861
delhiinstituteoftoolengineeringwazirpurdelhidelhiindia,"Delhi Institute of Tool Engineering, Wazirpur, Delhi, Delhi, India",10114,28.700505,77.165603,Delhi,IN,waqi_search,2026-03-25T18:33:38.155216
deonarmumbaiindia,"Deonar, Mumbai, India",13712,19.04946,72.923,Mumbai,IN,waqi_search,2026-03-25T18:33:40.378746
druzhbasofiabulgaria,"Druzhba, Sofia, Bulgaria (Дружба, Столична)",8084,42.6483638,23.4011233,Sofia,BG,waqi_search,2026-03-25T18:33:33.789509
eastdunbartonshirebishopbriggsunitedkingdom,"East Dunbartonshire Bishopbriggs, United Kingdom",5979,55.904167,-4.225,Glasgow,GB,waqi_search,2026-03-25T18:33:05.178675
egatnonthaburithailand,"EGAT, Nonthaburi, Thailand (การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย (กฟผ.))",1838,13.8069333,100.5355167,Bangkok,TH,waqi_search,2026-03-25T18:33:44.769409
egitimistasyonuturkey,"Eğitim İstasyonu, Turkey",14851,38.422,27.19986,Izmir,TR,waqi_search,2026-03-25T18:32:05.577526
einsteinwegamsterdam,"Einsteinweg, Amsterdam",2673,52.381331,4.845233,Amsterdam,NL,waqi_search,2026-03-25T18:33:13.905205
enteferrovienapolicampaniaitaly,"Ente Ferrovie, Napoli, Campania, Italy",10939,40.85361,14.27167,Naples,IT,waqi_search,2026-03-25T18:32:41.048502
erandiopasvascospain,"Erandio, País Vasco, Spain",6743,43.30268000005,-2.9772400002752,Bilbao,ES,waqi_search,2026-03-25T18:32:54.250654
erzeijstraatutrecht,"Erzeijstraat, Utrecht",4585,52.067748,5.120507,Utrecht,NL,waqi_search,2026-03-25T18:33:18.281861
escuelasaguirremadridspain,"Escuelas Aguirre, Madrid, Spain",3227,40.421666659956,-3.6822222198376,Madrid,ES,waqi_search,2026-03-25T18:32:45.435092
etlikturkey,"Etlik, Turkey",14797,39.973704,32.823266,Ankara,TR,waqi_search,2026-03-25T18:32:03.389275
europabilbaopasvascospain,"Europa, Bilbao, País Vasco, Spain",6733,43.25490000014,-2.9022999997366,Bilbao,ES,waqi_search,2026-03-25T18:32:54.250654
feyzinzisudlyonnaisfrance,"Feyzin ZI, Sud Lyonnais , France",3031,45.663940304773,4.845836036043,Lyon,FR,waqi_search,2026-03-25T18:32:25.327764
frankfurthochstgermany,"Frankfurt-Höchst, Germany",10841,50.101666666667,8.5425,Frankfurt,DE,waqi_search,2026-03-25T18:32:20.975295
frankfurtodergermany,"Frankfurt (Oder), Germany",6184,52.334444444444,14.525833333333,Frankfurt,DE,waqi_search,2026-03-25T18:32:20.975295
frankfurtoleipzigerstrvgermany,"Frankfurt(O), Leipziger Str. v, Germany",13848,52.337335999816,14.538594999554,Frankfurt,DE,waqi_search,2026-03-25T18:32:20.975295
frankfurtostgermany,"Frankfurt-Ost, Germany",10855,50.126666666667,8.7483333333333,Frankfurt,DE,waqi_search,2026-03-25T18:32:20.975295
frankfurtschwanheimgermany,"Frankfurt-Schwanheim, Germany",10842,50.075464,8.576305,Frankfurt,DE,waqi_search,2026-03-25T18:32:20.975295
friedbergerlandstrfrankfurtgermany,"Friedberger Landstr., Frankfurt, Germany",10854,50.125555555556,8.6927777777778,Frankfurt,DE,waqi_search,2026-03-25T18:32:20.975295
friedrichshainfrankfurteralleeberlingermany,"Friedrichshain-Frankfurter Allee, Berlin, Germany",10038,52.514072,13.469931,Berlin,DE,waqi_search,2026-03-25T18:32:12.272158
gangbyeonbukroseoulsouthkorea,"Gangbyeonbukro, Seoul, South Korea (강변북로 서울)",4488,37.539283,127.040943,Seoul,KR,waqi_search,2026-03-25T18:33:46.956739
giardinimargheritaemiliaromagnaitaly,"Giardini Margherita, Emilia Romagna, Italy",9419,44.483628,11.355035,Bologna,IT,waqi_search,2026-03-25T18:32:43.268426
glasgowanderstonunitedkingdom,"Glasgow Anderston, United Kingdom",6341,55.861667,-4.271389,Glasgow,GB,waqi_search,2026-03-25T18:33:05.178675
glasgowburgherstunitedkingdom,"Glasgow Burgher St., United Kingdom",5998,55.851071,-4.19714,Glasgow,GB,waqi_search,2026-03-25T18:33:05.178675
glasgowhighstreetunitedkingdom,"Glasgow High Street, United Kingdom",8050,55.860936,-4.238214,Glasgow,GB,waqi_search,2026-03-25T18:33:05.178675
glasgowkerbsideunitedkingdom,"Glasgow Kerbside, United Kingdom",6001,55.85917,-4.258889,Glasgow,GB,waqi_search,2026-03-25T18:33:05.178675
glasgowtownheadunitedkingdom,"Glasgow Townhead, United Kingdom",4904,55.865782,-4.243631,Glasgow,GB,waqi_search,2026-03-25T18:33:05.178675
griftparkutrecht,"Griftpark, Utrecht",6332,52.101308,5.128183,Utrecht,NL,waqi_search,2026-03-25T18:33:18.281861
guidoromalazioitaly,"Guido, Roma, Lazio, Italy",9346,41.9248746,12.4934413,Rome,IT,waqi_search,2026-03-25T18:32:34.375902
habichtstraehamburggermany,"Habichtstraße, Hamburg, Germany",10833,53.59235,10.053724,Hamburg,DE,waqi_search,2026-03-25T18:32:16.664799
hebbalbengaluruindia,"Hebbal, Bengaluru, India",11428,13.029152,77.585901,Bengaluru,IN,waqi_search,2026-03-25T18:33:42.568672
hipodrumasofiabulgaria,"Hipodruma, Sofia, Bulgaria (Хиподрума, Столична)",10091,42.673888888889,23.282791666667,Sofia,BG,waqi_search,2026-03-25T18:33:33.789509
hombegowdanagarbengaluruindia,"Hombegowda Nagar, Bengaluru, India",11270,12.938539,77.5901,Bengaluru,IN,waqi_search,2026-03-25T18:33:42.568672
inowroclawairpinowrocawpoland,"inowroclaw; airp. Inowrocław, Poland",6528,52.793055555556,18.240833333333,Wroclaw,PL,waqi_search,2026-03-25T18:33:11.631898
islingtonarsenalunitedkingdom,"Islington - Arsenal, United Kingdom",14596,51.557895,-0.106989,London,GB,waqi_search,2026-03-25T18:32:56.441767
istanbulaksarayturkey,"Istanbul (Aksaray), Turkey",4143,41.014722,28.954722,Istanbul,TR,waqi_search,2026-03-25T18:32:01.189315
istanbulbesiktasturkey,"Istanbul (Besiktas), Turkey",4145,41.053889,29.01,Istanbul,TR,waqi_search,2026-03-25T18:32:01.189315
istanbulkadikoyturkey,"Istanbul (Kadikoy), Turkey",4147,40.991944,29.033611,Istanbul,TR,waqi_search,2026-03-25T18:32:01.189315
istanbulkagithaneturkey,"Istanbul (Kagithane), Turkey",5382,41.087733,28.982773,Istanbul,TR,waqi_search,2026-03-25T18:32:01.189315
