seed_city,seed_country,search_keyword,waqi_uid,aqi,station_name,latitude,longitude
Paris,France,paris,3090,-,"Paris Centre, Paris",48.8593,2.35101
Paris,France,paris,10946,-,", Quai De Paris - Trafic, Rouen, France",49.4366914897979,1.09855494496119
Paris,France,paris,3093,34,"Lognes, Paris",48.8403,2.63463
Paris,France,paris,12762,99,"Rambouillet, Paris",48.6337,1.83043
Paris,France,paris,3104,42,"Cergy-pontoise, Paris",49.0459,2.04104
Berlin,Germany,berlin,6179,89,"berlin-buckow; Blankenfelde-Mahlow, Germany",52.349444444444,13.424166666667
Berlin,Germany,berlin,13850,63,"Wildau, Germany",,
Berlin,Germany,berlin,10036,82,"Neukölln-Silbersteinstr., Berlin, Germany",52.467534,13.441654
Berlin,Germany,berlin,10033,59,"Buch, Berlin, Germany",52.644169,13.483079
Berlin,Germany,berlin,10031,57,"Grunewald (3.5 m), Berlin, Germany",52.473192,13.225144
Berlin,Germany,berlin,10034,87,"Friedrichshagen, Berlin, Germany",52.447697,13.64705
Berlin,Germany,berlin,10040,91,"Mariendorf, Mariendorfer Damm, Berlin, Germany",52.438115,13.38772
Berlin,Germany,berlin,10039,70,"Mitte, Brückenstraße, Berlin, Germany",52.513606,13.418833
Berlin,Germany,berlin,10038,107,"Friedrichshain-Frankfurter Allee, Berlin, Germany",52.514072,13.469931
Berlin,Germany,berlin,10035,76,"Steglitz-Schildhornstr., Berlin, Germany",52.463611,13.31825
Berlin,Germany,berlin,10032,65,"Neukölln-Nansenstraße, Berlin, Germany",52.489451,13.430844
Berlin,Germany,berlin,13851,76,"Karl-Marx-Straße, Berlin, Germany",52.483812,13.429672
Berlin,Germany,berlin,6132,65,"Berlin, Germany",52.5200066,13.404954
Berlin,Germany,berlin,6194,85,"Bernau, Lohmühlenstr. v, Germany",52.6775,13.582222222222
Berlin,Germany,berlin,6200,70,"Schönefeld, Flughafen*, Germany",52.376666666667,13.5325
Berlin,Germany,berlin,13852,82,"Leipziger Straße, Berlin, Germany",52.509813,13.382377
Berlin,Germany,berlin,10030,63,"Wedding-Amrumer Str., Berlin, Germany",52.543041,13.349326
Berlin,Germany,berlin,10037,-,"Neukölln-Karl-Marx-Str. 76, Berlin, Germany",52.481709,13.433967
Berlin,Germany,berlin,7458,16,"berlin; Canton, Ohio, USA",40.800797,-81.372853
Berlin,Germany,berlin,7373,-,"berlingtan; Burlington, Vermont, USA",44.476101,-73.210297
Berlin,Germany,berlin,4,30,"berlington; Burlington, Ontario, Canada",43.315111,-79.802639
Berlin,Germany,berlin,6188,65,"berlin-staaken; Potsdam, Groß Glienicke, Germany",52.484166666667,13.123611111111
Milan,Italy,milan,9118,-,"Milano Senato, Lombardia, Italy",45.470501,9.19746075
Milan,Italy,milan,9132,-,"Milano Pascal Città Studi, Lombardia, Italy",45.478347,9.231667
Milan,Italy,milan,10044,-,"Sesto San Giovanni , Lombardia, Italy",45.53476819,9.23610903
