date, pm25, pm10, no2, so2
2022/7/30, 138, 58, , 1
2022/7/31, 103, 58, , 1
2022/8/1, 96, 41, , 
2022/8/2, 63, 56, , 
2022/8/3, 94, 66, , 
2022/8/4, 120, 55, , 
2022/8/5, 104, 65, , 1
2022/8/6, 114, 63, , 1
2022/8/7, 116, 58, , 1
2022/8/8, 91, 53, , 3
2022/8/9, 88, 69, , 
2022/8/10, 124, 70, , 1
2022/8/11, 123, 76, , 3
2022/8/12, 140, 72, , 2
2022/8/13, 125, 33, , 
2022/8/14, 49, 40, , 5
2022/8/15, 50, 74, , 1
2022/8/16, 114, 88, , 2
2022/8/17, 140, 75, , 1
2022/8/18, 122, 41, , 3
2022/8/19, 53, 36, , 
2022/8/20, 38, 48, , 3
2022/8/21, 73, 62, , 2
2022/8/22, 92, 78, , 2
2022/8/23, 124, 54, , 
2022/8/24, 89, 73, , 1
2022/8/25, 121, 71, , 
2022/8/26, 115, 75, , 1
2022/8/27, 133, 72, , 1
2022/8/28, 127, 70, , 
2022/8/29, 125, 65, , 4
2022/8/30, 103, 51, , 1
2022/8/31, 89, 64, , 
2022/9/1, 101, 72, , 2
2022/9/2, 118, 69, , 2
2022/9/3, 121, 67, , 2
2022/9/4, 124, 55, , 
2022/9/5, 85, 55, , 2
2022/9/6, 68, 71, , 
2022/9/7, 112, 58, , 
2022/9/8, 101, 69, , 1
2022/9/9, 118, 62, , 1
2022/9/10, 107, 61, , 1
2022/9/11, 112, 71, , 2
2022/9/12, 114, 55, , 3
2022/9/13, 92, 43, , 
2022/9/14, 61, 52, , 
2022/9/15, 78, 62, , 1
2022/9/16, 103, 66, , 1
2022/9/17, 112, 64, , 
2022/9/18, 126, 81, , 
2022/9/19, 131, 48, , 1
2022/9/20, 62, 46, , 4
2022/9/21, 81, 54, , 
2022/9/22, 102, 65, , 
2022/9/23, 133, 58, , 
2022/9/24, 94, 59, , 
2022/9/25, 101, 61, , 
2022/9/26, 104, 66, , 
2022/9/27, 118, 55, , 
2022/9/28, 91, 53, , 
2022/9/29, 86, 57, , 
2022/9/30, 88, 61, , 
